lat,long
621368.7673024734,7741238.3022357905
621374.8187651946,7741238.473075257
621378.4166754792,7741235.82053422
621382.6138450655,7741237.110401945
621384.8401794762,7741234.959754691
621390.4693817436,7741232.955999531
621392.8348531693,7741234.955802899
621396.4690278879,7741233.636959664
621402.2059324064,7741232.029910521
621404.9373132137,7741232.68240836
621409.2237480324,7741230.569918933
621414.3943655046,7741228.904165928
621417.4763153711,7741229.437319567
621421.0593921005,7741227.313736593
621425.8439267164,7741228.018862155
621427.7214403071,7741224.595148703
621434.1525262077,7741224.62952964
621436.5162498591,7741222.372392538
621440.3053437925,7741222.622954764
621445.1582085997,7741221.751059386
621447.7747237172,7741221.546125453
621452.4283182783,7741217.654814009
621456.9012347672,7741217.686392637
621461.1832098346,7741217.462624552
621465.1595299721,7741215.631154385
621467.0083602346,7741214.220708869
621470.882627234,7741212.583521957
621475.2849762993,7741212.055043518
621480.2651931716,7741210.7684401255
621483.4094521186,7741209.714855483
621487.4662624107,7741206.600426942
621493.2817121627,7741205.338555209
621494.6439351757,7741205.328386201
621498.6229147457,7741202.636537505
621504.4010607626,7741200.339812014
621506.0872200467,7741199.115255914
621510.8788829653,7741197.768415912
621513.6401024379,7741195.589674391
621517.8498184916,7741196.343519309
621521.4747241791,7741194.152268659
621362.8149573274,7741246.212494285
621366.6379815185,7741246.268908204
621368.9737718586,7741246.029870603
621372.994450711,7741243.888671274
621380.2185799846,7741242.295155788
621381.3409231129,7741244.284713433
621385.8448513581,7741242.689608841
621392.5581004738,7741242.583549943
621396.2920186538,7741240.541568091
621397.7772752619,7741240.454253656
621402.5962610032,7741238.049638697
621407.3862457228,7741237.702443836
621411.227842166,7741238.058347698
621415.5916062099,7741237.5138019705
621419.4210493709,7741235.715224845
621423.0314899401,7741235.241195743
621427.400452168,7741233.995550716
621433.1008234501,7741233.092488022
621434.9796137358,7741231.883561702
621440.640538135,7741231.202876805
621445.5035963393,7741229.710140841
621447.8750676464,7741227.471280816
621453.0392427292,7741227.91704793
621456.2864558117,7741224.496996434
621459.013832854,7741223.533714425
621462.9997344273,7741222.914729998
621469.5003867385,7741222.265052062
621472.280038292,7741219.909771667
621474.6826548876,7741221.021125555
621480.211518139,7741218.479005891
621485.0139737262,7741216.933649854
621488.1543943558,7741215.413897724
621490.0307062537,7741213.756231749
621495.3323143289,7741213.781910406
621499.3324593703,7741210.850023897
621504.5334389303,7741209.744212502
621506.2776951347,7741207.138534699
621509.6804261644,7741207.335418698
621513.3645417193,7741204.677547271
621518.5742859432,7741201.594443066
621522.7513172386,7741200.739115768
621378.1683185913,7741250.497304043
621380.6355837561,7741249.939131407
621384.9482758436,7741250.0946724815
621390.2523888297,7741250.597928203
621393.1399891872,7741249.529603649
621396.8331647319,7741248.8161756545
621400.8216058331,7741247.566789187
621405.1798374787,7741246.496624318
621410.3670444387,7741247.16303974
621414.85466265,7741245.490783123
621417.4681899032,7741244.14462776
621421.2718231903,7741242.110053945
621525.342120083,7741191.571017099
621530.0743403549,7741189.392794799
621526.6946224842,7741201.103574169
621531.3541390835,7741198.563298851
621535.2388417213,7741197.659562065
621538.1406901069,7741195.411375709
621540.0203376358,7741194.359417294
621424.97859764,7741241.122647162
621429.3102681657,7741242.20017395
621433.5503640241,7741241.510127711
621438.5619937488,7741238.256822114
621440.0091979884,7741236.409921584
621444.1511907042,7741235.896228272
621447.683605524,7741235.524353395
621454.038913635,7741233.2652864205
621456.3254198885,7741234.783491909
621460.8410263157,7741233.233044344
621463.966948436,7741231.097052925
621469.8354817473,7741230.372700621
621473.4420908863,7741228.238308786
621475.9911866813,7741227.30895286
621478.7606531208,7741225.119300438
621486.5346582531,7741222.148916681
621490.4610050628,7741222.730084239
621496.6355909846,7741221.187366994
621498.9309724042,7741220.176006844
621503.6992911994,7741217.032732391
621508.5929022081,7741217.339199644
621511.2199678844,7741213.981544021
621514.6733829326,7741213.257725419
621518.6134640287,7741213.022230679
621523.2960854148,7741211.4264294
621525.3079171369,7741207.620652965
621529.9375745826,7741206.855039435
621532.6927290704,7741204.031772158
621535.8129847028,7741204.155069044
621540.7153524783,7741200.87191907
621543.198940276,7741198.3620234355
621546.1090994917,7741197.45060198
621548.1371323114,7741196.491951833
621560.4291133194,7741200.270241902
621555.6051463995,7741201.122328907
621554.724299039,7741204.577829863
621550.4025201525,7741205.026568896
621571.9250478119,7741200.7823571
621568.4100872689,7741204.091047979
621563.665015573,7741205.794042956
621559.3326805648,7741208.535493956
621558.4863008278,7741209.50663309
621579.7504771187,7741205.606493284
621576.1747008306,7741208.039744363
621574.9117270281,7741211.042733916
621569.5122943195,7741210.570634321
621565.1647211453,7741213.903568524
621563.4478093153,7741216.989060942
621545.1419557658,7741207.635157023
621541.5062918924,7741210.252007826
621538.8723431815,7741211.720272611
621535.6633848839,7741213.137055433
621553.8448073599,7741213.21081747
621586.6270031529,7741210.710861467
621582.8187096744,7741214.051577965
621580.9573419128,7741214.195430674
621576.0433303752,7741215.798266723
621573.5042655942,7741219.443996276
621570.5922728097,7741220.373753825
621566.6433303867,7741221.357361222
621530.348580392,7741215.384045328
621526.6276934252,7741215.974939632
621523.6529702471,7741216.279845491
621551.1561486406,7741214.640852434
621546.5827163106,7741215.941193002
621542.6549540359,7741217.592440184
621539.7709705994,7741217.180166711
621558.3108959858,7741216.751126393
621554.4159369146,7741218.957091003
621553.6096257614,7741222.706661904
621586.5167685713,7741220.491906025
621584.6124239893,7741222.434809755
621580.0322237181,7741223.2141660005
621577.6346713413,7741226.686445657
621572.6796061901,7741227.797558693
621586.1073338515,7741228.388038472
621584.3516283905,7741230.611146199
621580.1464651729,7741232.802588882
621568.5951982797,7741227.349557852
621566.7719303822,7741230.025791465
621563.3791986549,7741224.920920144
621558.240725392,7741225.048716131
621555.1108868209,7741227.586566852
621553.648140761,7741230.962995927
621549.7659972842,7741224.277815616
621543.797533644,7741223.699497059
621542.2844766745,7741224.949899284
621537.4345283576,7741227.232855695
621534.7109147534,7741221.612449713
621532.0536140852,7741221.38267514
621529.225264772,7741224.586675191
621518.937778899,7741217.524919973
621516.8968592011,7741222.2708727205
621510.8623323804,7741222.922755843
621508.1444704969,7741224.701779826
621504.635902271,7741224.629273283
621500.7905769993,7741225.6172472
621495.7943825165,7741227.318996218
621490.4657813032,7741232.235825015
621484.946129691,7741232.695035474
621523.5607306409,7741225.231589374
621522.2806245686,7741225.960015398
621517.6646230652,7741226.777835884
621513.6225494015,7741230.139387255
621482.8177487563,7741232.252592221
621510.6700450295,7741231.926904177
621507.7258200985,7741234.221900108
621501.5468392033,7741233.219610721
621534.070896308,7741229.049543706
621530.8834402803,7741230.979178434
621476.7449965416,7741235.478003354
621474.6040167517,7741235.984333352
621574.723958607,7741233.118886925
621572.5510460661,7741237.147164483
621586.0214025648,7741237.960042095
621471.7402365569,7741237.782889325
621466.440177365,7741237.53013497
621462.388389377,7741239.777522129
621458.3733643439,7741241.449058627
621454.0363637483,7741241.649219686
621451.74336235,7741242.377943036
621446.6035683588,7741245.365513126
621442.7580078368,7741246.46128032
621498.162464822,7741235.298562533
621495.1304563555,7741235.998422423
621493.007448153,7741238.2798159
621486.6038744799,7741240.646193127
621485.8299728492,7741241.771953884
621476.3946250326,7741242.392745127
621526.8849773504,7741233.666116702
621522.4916668457,7741233.658388066
621547.1841378185,7741232.545039578
621544.1439206251,7741233.865593898
621540.4482486502,7741233.454303043
621538.8476374241,7741235.124342157
621519.466146127,7741235.323947318
621515.4515099224,7741238.133737186
621510.5485479478,7741238.949917906
621507.9535307143,7741239.535060173
621501.5743925984,7741242.058263833
621498.7717220979,7741244.3429424055
621473.0648665561,7741245.842623996
621440.0830650752,7741245.454372198
621435.0214474734,7741246.527633366
621431.550577223,7741247.625953247
621425.9487235595,7741248.595339703
621424.1897516648,7741251.148858421
621418.4208888902,7741251.471897601
621414.309307571,7741252.139120246
621372.5077915424,7741250.973847613
621370.1525407945,7741253.001532936
621412.8268350392,7741251.039236794
621470.090399901,7741244.663340767
621464.142790979,7741246.502574046
621461.1437777502,7741249.375676422
621455.4858327204,7741248.118224732
621454.1247659454,7741249.220271948
621447.6949208995,7741251.139132816
621445.6609926387,7741250.71879604
621535.033288563,7741236.558377014
621531.9555761787,7741238.929970556
621526.1971609156,7741239.722190211
621563.8235592274,7741231.798315543
621558.6998515552,7741234.428683552
621557.1430860647,7741236.630631127
621552.3129529846,7741237.830305492
621548.5777505336,7741239.4547245065
621545.6327648847,7741242.668254618
621541.837281278,7741241.968509718
621536.7707674139,7741245.831906871
621570.2349770936,7741236.516237162
621564.354418088,7741239.32749258
621562.6568300693,7741240.349086295
621559.2507777959,7741242.415717162
621555.0707541942,7741245.7806690475
621550.3072927025,7741247.209868489
621546.1506651181,7741248.503462276
621581.7118702901,7741239.399079195
621577.8423754,7741240.791427705
621575.4141172379,7741242.533166309
621570.6710366188,7741243.486992817
621494.8216381462,7741245.931844102
621490.905694492,7741246.227037389
621488.7154155188,7741246.684320909
621484.3170183757,7741248.057236102
621480.2282209566,7741251.142133496
621475.5660550504,7741251.297729624
621522.4084294003,7741241.152538921
621520.4947824981,7741243.068858311
621515.0685907397,7741243.8780496605
621512.2786483632,7741246.588933252
621509.4766469201,7741247.5677165575
621504.8739123377,7741250.070720513
621502.6805228164,7741251.20552142
621497.4752947582,7741250.892556884
621534.6654566734,7741246.567323956
621583.3334468498,7741247.031080618
621581.4199183529,7741246.492582395
621576.9984107963,7741251.051876392
621569.6564109297,7741246.5367199965
621565.9754110009,7741248.188935095
621529.833246789,7741246.607259706
621525.8057963778,7741248.914446172
621522.1650190864,7741249.966106999
621544.5224105407,7741250.90038782
621539.1535530973,7741251.115994015
621561.4373582081,7741248.187269048
621558.6485088887,7741251.670296467
621574.3881509696,7741250.4640025655
